id,sex,age,race,beachattend,Seals,Dolphins,Sharks,Lifsavers,NSRI,SSpotters,beach,sharkbite,SealPride2,SharkPride2,SharkSpot2,Lifesavers2,NSRI2,Dolphin2
31,2,28,3,3,9,9,1,9,9,9,2,1,3,1,3,3,3,3
32,1,22,1,1,9,9,9,5,9,8,2,1,3,3,3,2,3,3
33,1,24,1,1,9,9,9,5,9,8,2,1,3,3,3,2,3,3
34,1,33,2,1,6,6,1,6,6,6,2,1,3,1,3,3,3,3
35,1,40,3,3,3,8,8,9,10,8,2,1,1,3,3,3,3,3
36,1,32,3,1,9,9,5,9,9,8,2,1,3,2,3,3,3,3
37,2,35,1,1,9,10,10,10,10,10,2,1,3,3,3,3,3,3
39,1,23,1,3,9,10,10,4,#NULL!,7,2,1,3,3,3,2,#NULL!,3
40,1,50,1,3,10,10,10,10,10,8,2,1,3,3,3,3,3,3
41,2,25,2,3,3,7,1,8,#NULL!,6,2,1,1,1,3,3,#NULL!,3
42,2,55,1,2,10,10,3,8,10,8,2,1,3,1,3,3,3,3
43,2,55,2,2,6,6,1,7,6,7,2,1,3,1,3,3,3,3
44,2,40,2,1,10,10,6,7,10,5,2,1,3,3,2,3,3,3
45,1,40,2,1,10,10,7,8,10,5,2,1,3,3,2,3,3,3
46,1,20,2,1,8,10,1,7,8,5,2,1,3,1,2,3,3,3
47,1,20,2,1,7,10,2,5,7,6,2,1,3,1,3,2,3,3
48,2,50,3,1,8,10,1,10,10,10,2,1,3,1,3,3,3,3
49,2,23,2,2,7,4,3,10,5,2,2,1,3,1,1,3,2,2
50,1,35,2,2,9,6,8,7,9,6,2,1,3,3,3,3,3,3
51,2,25,2,2,10,10,3,7,6,8,2,1,3,1,3,3,3,3
52,1,40,3,3,10,10,10,6,10,10,1,1,3,3,3,3,3,3
53,2,27,1,2,7,10,7,7,8,9,1,2,3,3,3,3,3,3
54,2,27,3,3,5,8,1,4,5,5,1,2,2,1,2,2,2,3
55,1,25,3,2,10,10,1,8,10,7,1,2,3,1,3,3,3,3
56,1,50,3,2,10,10,10,1,10,1,1,2,3,3,1,1,3,3
57,1,30,1,3,10,10,10,10,10,10,1,2,3,3,3,3,3,3
58,2,55,1,1,7,10,8,8,10,8,1,2,3,3,3,3,3,3
59,1,40,1,1,7,7,3,5,5,8,1,2,3,1,3,2,2,3
60,1,30,2,3,3,3,3,5,6,5,1,2,1,1,2,2,3,1
61,2,26,1,1,6,6,8,7,8,8,1,2,3,3,3,3,3,3
62,2,25,1,3,10,10,10,10,10,10,1,2,3,3,3,3,3,3
63,1,25,1,3,10,10,10,3,10,7,1,2,3,3,3,1,3,3
64,1,23,2,3,10,10,10,10,10,10,1,2,3,3,3,3,3,3
65,2,55,1,3,6,8,3,6,6,6,1,2,3,1,3,3,3,3
66,1,50,3,3,4,10,1,8,#NULL!,1,1,2,2,1,1,3,#NULL!,3
67,1,40,3,3,9,10,5,7,9,9,1,2,3,2,3,3,3,3
68,2,25,1,2,6,10,9,8,#NULL!,8,1,2,3,3,3,3,#NULL!,3
69,2,25,1,2,8,10,9,8,10,8,1,2,3,3,3,3,3,3
70,1,40,1,1,6,6,6,6,6,6,1,2,3,3,3,3,3,3
71,2,25,2,3,3,6,2,6,6,9,1,2,1,1,3,3,3,3
72,1,45,1,1,3,10,3,7,7,3,1,2,1,1,1,3,3,3
73,2,18,2,3,6,9,1,6,8,6,1,2,3,1,3,3,3,3
74,1,45,3,1,10,10,10,10,10,10,1,2,3,3,3,3,3,3
75,1,28,1,2,10,10,10,8,8,8,1,2,3,3,3,3,3,3
76,2,50,1,2,9,9,6,8,10,9,1,2,3,3,3,3,3,3
77,1,40,2,1,10,10,10,5,5,5,1,2,3,3,2,2,2,3
78,2,37,1,3,10,10,1,7,5,10,2,2,3,1,3,3,2,3
79,2,35,2,2,10,10,1,#NULL!,10,9,2,2,3,1,3,#NULL!,3,3
80,2,70,1,2,10,10,1,8,8,9,2,2,3,1,3,3,3,3
81,2,30,2,3,10,10,10,10,#NULL!,10,2,2,3,3,3,3,#NULL!,3
82,1,60,1,3,10,10,6,8,8,8,2,2,3,3,3,3,3,3
83,1,25,2,2,1,5,10,10,2,10,2,2,1,3,3,3,1,2
84,2,32,3,3,7,10,2,5,8,7,2,2,3,1,3,2,3,3
85,2,35,3,3,3,10,1,10,10,10,2,2,1,1,3,3,3,3
86,2,75,1,3,10,8,10,10,10,10,2,2,3,3,3,3,3,3
87,2,32,1,1,10,10,6,10,8,10,2,2,3,3,3,3,3,3
88,2,21,3,3,6,8,5,7,7,6,2,2,3,2,3,3,3,3
89,2,45,3,3,6,8,3,10,10,8,2,2,3,1,3,3,3,3
90,2,23,3,3,10,10,10,10,10,10,2,2,3,3,3,3,3,3
91,1,20,3,3,8,10,2,8,7,7,2,2,3,1,3,3,3,3
92,1,23,3,3,10,10,10,10,#NULL!,10,2,2,3,3,3,3,#NULL!,3
93,2,21,1,3,10,10,10,5,9,10,2,2,3,3,3,2,3,3
94,2,21,2,3,8,9,5,6,9,5,2,2,3,2,2,3,3,3
95,1,20,3,3,9,10,6,7,8,10,2,2,3,3,3,3,3,3
96,2,20,3,3,10,10,8,9,10,7,2,2,3,3,3,3,3,3
97,2,20,3,3,10,10,10,6,3,8,2,2,3,3,3,3,1,3
98,1,19,1,3,8,8,4,7,7,5,2,2,3,2,2,3,3,3
99,1,40,2,3,6,6,6,8,6,8,2,2,3,3,3,3,3,3
100,2,50,1,3,10,10,10,10,10,8,2,2,3,3,3,3,3,3
101,2,30,2,3,6,6,1,6,1,1,2,2,3,1,1,3,1,3
102,2,40,1,2,10,10,6,8,#NULL!,8,2,2,3,3,3,3,#NULL!,3
