Crash ID,Month,Dayweek,Time,State
19941002,January,Sunday,07:30:00,NSW
20183098,April,Sunday,14:00:00,QLD
20075111,April,Thursday,01:00:00,WA
19898008,February,Monday,15:20:00,ACT
20014090,September,Monday,22:50:00,SA
19912118,September,Saturday,05:00:00,VIC
20072051,November,Saturday,01:30:00,VIC
20013290,October,Tuesday,12:00:00,QLD
19962021,September,Monday,19:20:00,VIC
20082078,March,Monday,10:12:00,VIC
19992189,April,Thursday,17:30:00,VIC
19962262,July,Saturday,17:20:00,VIC
20041191,December,Thursday,16:00:00,NSW
20052234,December,Thursday,23:10:00,VIC
19936014,November,Monday,00:05:00,TAS
19932134,August,Wednesday,18:14:00,VIC
19931079,June,Tuesday,02:40:00,NSW
19901314,October,Thursday,23:58:00,NSW
19947026,February,Friday,05:30:00,NT
19953033,November,Wednesday,07:00:00,QLD
20021372,March,Sunday,18:50:00,NSW
19993118,March,Saturday,08:00:00,QLD
20041143,October,Sunday,02:15:00,NSW
19997006,July,Wednesday,19:00:00,NT
20052258,August,Thursday,16:50:00,VIC
20095147,July,Saturday,13:00:00,WA
20155074,February,Saturday,18:00:00,WA
20161166,September,Tuesday,10:00:00,NSW
20165033,August,Thursday,11:05:00,WA
20125038,August,Tuesday,12:50:00,WA
20102218,September,Tuesday,21:15:00,VIC
19981308,May,Saturday,11:35:00,NSW
20002204,July,Friday,07:07:00,VIC
19896022,June,Friday,20:40:00,TAS
20003171,March,Monday,08:00:00,QLD
20051370,November,Monday,15:30:00,NSW
19891293,March,Friday,18:55:00,NSW
20113142,April,Monday,15:00:00,QLD
19951008,July,Saturday,15:10:00,NSW
20061050,March,Saturday,00:47:00,NSW
20023134,August,Sunday,19:00:00,QLD
20115119,June,Sunday,14:30:00,WA
19994080,September,Wednesday,15:00:00,SA
19943310,October,Friday,19:00:00,QLD
20033166,March,Friday,22:00:00,QLD
20091141,October,Sunday,05:10:00,NSW
20151022,March,Wednesday,08:00:00,NSW
20172027,December,Tuesday,11:15:00,VIC
20173176,April,Monday,12:00:00,QLD
20101313,August,Friday,15:15:00,NSW
20023180,May,Monday,15:00:00,QLD
19905176,December,Sunday,19:30:00,WA
20081221,June,Sunday,17:30:00,NSW
19982040,January,Wednesday,22:15:00,VIC
20171182,September,Tuesday,18:22:00,NSW
20053149,April,Saturday,00:00:00,QLD
19933029,February,Wednesday,07:00:00,QLD
19961463,May,Wednesday,21:10:00,NSW
20012013,December,Saturday,13:05:00,VIC
20124031,July,Sunday,14:00:00,SA
20153196,December,Saturday,17:00:00,QLD
20164064,January,Monday,06:00:00,SA
20144061,August,Friday,10:00:00,SA
19904186,October,Thursday,21:15:00,SA
20112056,August,Monday,18:11:00,VIC
20171044,July,Friday,08:11:00,NSW
19943198,September,Sunday,21:00:00,QLD
20171281,December,Friday,17:25:00,NSW
20031262,April,Saturday,01:20:00,NSW
20096041,March,Wednesday,13:40:00,TAS
19987043,July,Sunday,18:05:00,NT
19964098,January,Saturday,18:45:00,SA
19942058,August,Wednesday,19:05:00,VIC
20054041,July,Wednesday,21:18:00,SA
20021325,November,Thursday,04:00:00,NSW
19953292,April,Thursday,16:00:00,QLD
20161142,August,Sunday,04:20:00,NSW
20173080,January,Saturday,11:00:00,QLD
19895111,May,Tuesday,14:40:00,WA
19911277,April,Monday,16:05:00,NSW
20001221,September,Tuesday,10:00:00,NSW
20073119,January,Sunday,20:00:00,QLD
20062147,May,Monday,10:03:00,VIC
20071265,September,Wednesday,10:15:00,NSW
19971519,June,Wednesday,09:10:00,NSW
19974095,April,Tuesday,18:55:00,SA
20061317,July,Sunday,09:30:00,NSW
20004065,June,Friday,22:17:00,SA
19901490,August,Sunday,13:20:00,NSW
19891189,August,Thursday,06:15:00,NSW
20004048,December,Sunday,14:45:00,SA
19971444,November,Thursday,10:15:00,NSW
19993116,March,Monday,08:00:00,QLD
19942031,June,Sunday,15:15:00,VIC
20055138,September,Thursday,08:15:00,WA
20093137,August,Wednesday,20:00:00,QLD
20161103,November,Tuesday,10:44:00,NSW
20185053,June,Sunday,10:22:00,WA
20077005,September,Sunday,17:00:00,NT
20106010,November,Thursday,11:20:00,TAS
19912226,April,Tuesday,13:40:00,VIC
19943055,December,Saturday,12:00:00,QLD
19892105,January,Monday,23:15:00,VIC
20016016,November,Thursday,23:50:00,TAS
19973193,June,Tuesday,15:00:00,QLD
20042200,July,Wednesday,11:25:00,VIC
19932122,April,Thursday,16:35:00,VIC
20062228,August,Saturday,08:30:00,VIC
19971108,March,Thursday,17:45:00,NSW
20134052,June,Tuesday,08:50:00,SA
19962282,September,Sunday,02:30:00,VIC
19981468,May,Tuesday,14:50:00,NSW
19924106,October,Tuesday,00:37:00,SA
20073248,July,Sunday,15:00:00,QLD
19953015,August,Wednesday,17:00:00,QLD
20161043,October,Wednesday,21:50:00,NSW
19971160,December,Tuesday,11:00:00,NSW
19991398,May,Wednesday,06:50:00,NSW
19907035,July,Friday,09:00:00,NT
19961404,April,Monday,10:30:00,NSW
19893058,September,Thursday,22:00:00,QLD
19901293,February,Sunday,00:40:00,NSW
20062127,August,Sunday,11:55:00,VIC
19943215,February,Tuesday,21:00:00,QLD
19953068,May,Tuesday,17:00:00,QLD
19992291,December,Monday,19:23:00,VIC
20081081,February,Tuesday,15:51:00,NSW
19955077,June,Thursday,12:15:00,WA
19995115,October,Tuesday,15:30:00,WA
19933169,April,Sunday,17:00:00,QLD
19925081,October,Friday,12:45:00,WA
19982153,April,Saturday,11:00:00,VIC
19891285,January,Friday,12:45:00,NSW
19993056,March,Thursday,21:00:00,QLD
19913039,December,Thursday,15:00:00,QLD
19921324,February,Wednesday,09:30:00,NSW
20061223,October,Wednesday,14:09:00,NSW
20012281,July,Sunday,00:05:00,VIC
20165137,November,Sunday,12:50:00,WA
20027024,August,Sunday,11:45:00,NT
19953381,December,Wednesday,14:00:00,QLD
19893049,September,Sunday,21:00:00,QLD
20164011,June,Friday,18:00:00,SA
20105137,June,Saturday,08:00:00,WA
20133234,January,Friday,19:00:00,QLD
19913132,November,Thursday,12:00:00,QLD
20042079,October,Sunday,16:30:00,VIC
19943080,November,Sunday,16:00:00,QLD
19984059,April,Monday,20:35:00,SA
19905142,December,Friday,00:20:00,WA
20071045,September,Saturday,11:25:00,NSW
19925116,March,Sunday,12:30:00,WA
20063197,October,Friday,23:00:00,QLD
20101052,November,Sunday,17:04:00,NSW
19913357,April,Monday,09:00:00,QLD
19913206,November,Saturday,16:00:00,QLD
19951323,April,Sunday,15:30:00,NSW
19975070,January,Tuesday,17:10:00,WA
20171289,November,Tuesday,13:37:00,NSW
19981110,May,Sunday,01:30:00,NSW
20111044,April,Thursday,17:05:00,NSW
19933065,May,Thursday,01:00:00,QLD
20133077,December,Monday,20:00:00,QLD
19984033,May,Tuesday,09:50:00,SA
19953265,October,Friday,14:00:00,QLD
20106004,December,Tuesday,11:20:00,TAS
19951424,March,Saturday,20:48:00,NSW
20041436,April,Sunday,09:00:00,NSW
19938011,October,Thursday,20:15:00,ACT
19924121,November,Sunday,18:35:00,SA
19981036,January,Monday,00:01:00,NSW
20063159,January,Monday,12:00:00,QLD
20061067,August,Saturday,07:30:00,NSW
19955069,October,Sunday,07:20:00,WA
20012232,March,Friday,17:30:00,VIC
20032257,February,Thursday,18:20:00,VIC
20181007,May,Friday,23:10:00,NSW
20072027,June,Tuesday,13:39:00,VIC
20005058,January,Monday,18:15:00,WA
20032156,May,Tuesday,18:59:00,VIC
20131138,October,Tuesday,21:20:00,NSW
20173165,January,Friday,18:00:00,QLD
20011079,April,Saturday,16:55:00,NSW
19925060,February,Saturday,03:10:00,WA
20151325,June,Friday,17:30:00,NSW
19984007,March,Sunday,00:10:00,SA
19991143,December,Saturday,06:30:00,NSW
20033127,November,Sunday,16:00:00,QLD
20131262,May,Wednesday,03:33:00,NSW
20061166,December,Sunday,12:59:00,NSW
20044091,October,Wednesday,02:15:00,SA
19951356,June,Tuesday,13:00:00,NSW
19941336,October,Wednesday,01:00:00,NSW
19954078,October,Saturday,13:57:00,SA
19902163,May,Monday,21:45:00,VIC
19914057,November,Sunday,19:25:00,SA
19922287,April,Wednesday,23:05:00,VIC
19932333,August,Friday,07:20:00,VIC
19941449,October,Friday,10:05:00,NSW
19954027,October,Tuesday,20:10:00,SA
20061277,December,Sunday,15:10:00,NSW
20173205,August,Tuesday,17:00:00,QLD
20001490,April,Sunday,11:00:00,NSW
19942073,October,Wednesday,11:25:00,VIC
20091356,December,Sunday,11:30:00,NSW
20031104,December,Thursday,21:20:00,NSW
20142088,October,Thursday,22:12:00,VIC
20185034,February,Tuesday,16:30:00,WA
19911021,August,Sunday,22:45:00,NSW
19943142,September,Wednesday,02:00:00,QLD
20125062,March,Saturday,23:15:00,WA
19961441,December,Sunday,13:30:00,NSW
19993011,May,Friday,07:00:00,QLD
19972100,April,Friday,13:30:00,VIC
20062273,February,Friday,07:50:00,VIC
20117013,December,Sunday,02:30:00,NT
20025054,June,Sunday,02:15:00,WA
20082171,August,Sunday,08:35:00,VIC
20061045,January,Saturday,16:00:00,NSW
19981116,November,Monday,15:45:00,NSW
19891449,June,Friday,23:55:00,NSW
19902074,January,Saturday,01:45:00,VIC
19891611,June,Friday,04:30:00,NSW
19893314,April,Monday,10:00:00,QLD
19941231,November,Tuesday,08:00:00,NSW
20023035,December,Friday,16:00:00,QLD
19903233,October,Tuesday,14:00:00,QLD
20083193,June,Thursday,08:00:00,QLD
19992200,April,Sunday,18:45:00,VIC
20183074,April,Sunday,04:00:00,QLD
20075092,July,Sunday,20:44:00,WA
19975023,May,Friday,19:43:00,WA
19971310,November,Saturday,04:30:00,NSW
19981079,March,Tuesday,15:30:00,NSW
19891136,August,Saturday,02:50:00,NSW
19933226,October,Saturday,18:00:00,QLD
20102251,January,Saturday,14:20:00,VIC
20034102,February,Thursday,13:30:00,SA
20081314,July,Friday,18:10:00,NSW
19957018,February,Friday,12:30:00,NT
20011297,April,Tuesday,11:10:00,NSW
20034072,March,Friday,20:15:00,SA
20081104,March,Wednesday,17:45:00,NSW
20151150,September,Saturday,13:15:00,NSW
19891280,June,Sunday,17:05:00,NSW
20001051,August,Monday,07:40:00,NSW
19951166,February,Thursday,13:45:00,NSW
19961177,December,Sunday,01:43:00,NSW
20141216,April,Thursday,12:20:00,NSW
20081182,July,Sunday,13:35:00,NSW
19911237,December,Tuesday,17:00:00,NSW
19904172,April,Friday,03:40:00,SA
19941086,April,Saturday,10:15:00,NSW
19915125,April,Thursday,10:45:00,WA
19941338,March,Monday,06:15:00,NSW
19972166,November,Monday,16:15:00,VIC
20083171,April,Thursday,17:00:00,QLD
20051334,May,Sunday,04:15:00,NSW
20012157,December,Thursday,15:55:00,VIC
20011222,November,Wednesday,10:15:00,NSW
19926022,October,Sunday,18:34:00,TAS
19893189,September,Monday,15:00:00,QLD
19941552,May,Sunday,04:30:00,NSW
19891733,November,Tuesday,09:40:00,NSW
20031148,July,Saturday,21:40:00,NSW
20093089,November,Tuesday,12:00:00,QLD
19993026,September,Friday,22:00:00,QLD
19993138,August,Thursday,19:00:00,QLD
20153007,February,Thursday,15:00:00,QLD
20002287,April,Saturday,02:00:00,VIC
19985148,March,Friday,01:30:00,WA
19931001,March,Thursday,23:15:00,NSW
19891011,November,Monday,21:30:00,NSW
20081332,December,Sunday,16:30:00,NSW
20111184,November,Tuesday,07:15:00,NSW
20125124,June,Saturday,10:50:00,WA
20131293,November,Tuesday,11:20:00,NSW
20047010,December,Saturday,16:15:00,NT
19971456,December,Saturday,22:40:00,NSW
19904166,January,Friday,10:15:00,SA
20125032,July,Sunday,21:12:00,WA
20162173,May,Friday,07:28:00,VIC
19981012,March,Wednesday,06:30:00,NSW
20003267,June,Thursday,22:00:00,QLD
19902034,December,Tuesday,02:10:00,VIC
20041437,June,Saturday,02:45:00,NSW
19953395,November,Saturday,18:00:00,QLD
20111331,December,Thursday,05:50:00,NSW
19981466,April,Monday,20:05:00,NSW
19964017,January,Sunday,18:15:00,SA
19892246,November,Saturday,00:45:00,VIC
19905049,February,Saturday,15:50:00,WA
20133170,April,Wednesday,14:00:00,QLD
20122225,May,Monday,14:50:00,VIC
19954076,May,Tuesday,01:50:00,SA
20084022,November,Friday,03:30:00,SA
19986003,March,Saturday,00:05:00,TAS
19921417,June,Sunday,20:30:00,NSW
20014103,December,Friday,18:40:00,SA
20112203,June,Thursday,06:20:00,VIC
20011168,January,Wednesday,16:10:00,NSW
19893070,February,Sunday,00:00:00,QLD
20175022,April,Tuesday,14:50:00,WA
19934107,January,Saturday,18:15:00,SA
20071217,October,Monday,22:20:00,NSW
20035017,August,Saturday,04:10:00,WA
20165046,March,Friday,08:00:00,WA
19953044,September,Thursday,10:00:00,QLD
20023266,May,Friday,13:00:00,QLD
20175024,November,Monday,13:09:00,WA
19973013,March,Tuesday,06:00:00,QLD
20173108,September,Monday,15:00:00,QLD
19895078,July,Sunday,03:55:00,WA
20052022,October,Saturday,00:15:00,VIC
20041119,August,Wednesday,05:50:00,NSW
19971067,May,Tuesday,21:25:00,NSW
19945032,September,Tuesday,11:54:00,WA
19941100,September,Wednesday,11:15:00,NSW
19992317,August,Sunday,02:10:00,VIC
19992081,June,Friday,15:10:00,VIC
20161021,November,Thursday,15:13:00,NSW
20083202,March,Wednesday,22:00:00,QLD
19891658,September,Friday,13:15:00,NSW
20133174,September,Tuesday,09:00:00,QLD
20164052,March,Thursday,08:15:00,SA
20161138,November,Sunday,16:00:00,NSW
19912296,August,Saturday,23:40:00,VIC
19892171,February,Tuesday,06:50:00,VIC
20042101,September,Sunday,03:10:00,VIC
19992059,December,Tuesday,07:50:00,VIC
20021209,July,Friday,16:45:00,NSW
19892190,August,Thursday,15:15:00,VIC
20144043,July,Sunday,20:56:00,SA
20001218,February,Sunday,11:35:00,NSW
19941238,August,Friday,08:55:00,NSW
20032141,December,Wednesday,17:45:00,VIC
19941516,April,Monday,17:00:00,NSW
19931356,April,Thursday,18:40:00,NSW
19893332,November,Tuesday,06:00:00,QLD
20023096,January,Thursday,14:00:00,QLD
19932217,May,Friday,19:45:00,VIC
19901112,August,Thursday,04:50:00,NSW
20144093,July,Thursday,08:35:00,SA
19962104,September,Monday,22:20:00,VIC
20004109,June,Sunday,06:00:00,SA
19892392,May,Saturday,01:20:00,VIC
19922229,June,Friday,10:15:00,VIC
20163039,December,Thursday,14:00:00,QLD
20051088,September,Thursday,14:00:00,NSW
20033242,December,Tuesday,21:00:00,QLD
19971232,May,Friday,16:40:00,NSW
19972229,August,Wednesday,20:10:00,VIC
19983160,June,Saturday,05:00:00,QLD
19911585,May,Saturday,02:30:00,NSW
20153195,September,Thursday,14:00:00,QLD
20125036,May,Tuesday,16:34:00,WA
19991114,October,Friday,20:40:00,NSW
20155129,May,Friday,07:43:00,WA
20011291,January,Thursday,07:20:00,NSW
20101351,January,Thursday,02:25:00,NSW
19933218,February,Sunday,20:00:00,QLD
20101363,March,Wednesday,09:10:00,NSW
19952050,January,Monday,12:25:00,VIC
20111172,January,Monday,12:30:00,NSW
19902479,March,Tuesday,20:40:00,VIC
20105116,June,Sunday,23:57:00,WA
20073148,May,Saturday,14:00:00,QLD
20123012,April,Friday,23:00:00,QLD
19972333,September,Thursday,12:05:00,VIC
20047022,June,Monday,11:06:00,NT
19901193,June,Sunday,03:30:00,NSW
19953170,September,Saturday,01:00:00,QLD
20041072,January,Thursday,16:28:00,NSW
20063116,August,Wednesday,01:00:00,QLD
20054100,September,Thursday,06:15:00,SA
20023136,January,Friday,22:00:00,QLD
19965164,November,Saturday,03:25:00,WA
20106029,February,Friday,01:35:00,TAS
20094068,March,Saturday,02:00:00,SA
19974052,November,Thursday,19:19:00,SA
20012036,October,Saturday,23:00:00,VIC
20121124,March,Friday,05:10:00,NSW
20031409,December,Tuesday,15:53:00,NSW
20175088,November,Saturday,06:10:00,WA
19891194,October,Thursday,23:59:00,NSW
20153199,May,Saturday,19:00:00,QLD
19921531,July,Thursday,06:00:00,NSW
19921368,October,Wednesday,19:15:00,NSW
19901091,September,Tuesday,09:45:00,NSW
19891757,August,Wednesday,21:15:00,NSW
19903252,January,Monday,23:00:00,QLD
19983217,December,Thursday,14:00:00,QLD
19991365,April,Saturday,04:15:00,NSW
20041381,October,Monday,13:20:00,NSW
19911137,December,Thursday,21:00:00,NSW
19951162,October,Friday,14:45:00,NSW
19973177,October,Saturday,09:00:00,QLD
19963148,March,Saturday,04:00:00,QLD
20093075,August,Wednesday,16:00:00,QLD
